[2018-09-09 16:24:16.977] Starting up round ID 2226.
[2018-09-09 16:24:16.977] -------------------------
[2018-09-09 16:29:35.299] ATTACK: TwoTar/(Deeja-Chee) has thrown the folder (Xenobiology Lab (169, 101, 2))
[2018-09-09 16:32:21.330] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -4.2)  (Kitchen (150, 141, 2))
[2018-09-09 16:32:22.469] ATTACK: GreenTea98/(Helps-The-Station) has grabbed *no key*/(Grodd XII) passive grab (NEWHP: -4.2)  (Kitchen (150, 141, 2))
[2018-09-09 16:32:24.643] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -11.7)  (Kitchen (152, 141, 2))
[2018-09-09 16:32:25.569] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -21.7)  (Kitchen (152, 141, 2))
[2018-09-09 16:32:26.473] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -31.7)  (Kitchen (152, 141, 2))
[2018-09-09 16:32:27.275] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -41.7)  (Kitchen (152, 141, 2))
[2018-09-09 16:32:28.224] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -52.7)  (Kitchen (152, 141, 2))
[2018-09-09 16:32:29.184] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -62.7)  (Kitchen (152, 141, 2))
[2018-09-09 16:32:30.033] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -73.7)  (Kitchen (152, 141, 2))
[2018-09-09 16:32:30.864] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -83.7)  (Kitchen (152, 141, 2))
[2018-09-09 16:32:31.860] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -94.7)  (Kitchen (152, 141, 2))
[2018-09-09 16:32:32.669] ATTACK: GreenTea98/(Helps-The-Station) has attacked *no key*/(Grodd XII) with kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -104.7)  (Kitchen (152, 141, 2))
[2018-09-09 16:32:41.976] ATTACK: Bilary/(IckyOocky) has electrified [MiniSat Chamber Observation] (AI Chamber (150, 32, 2))
[2018-09-09 16:32:42.539] ATTACK: Bilary/(IckyOocky) has electrified [AI Core] (AI Chamber (150, 32, 2))
[2018-09-09 16:32:43.203] ATTACK: Bilary/(IckyOocky) has electrified [MiniSat Maintenance] (AI Chamber (150, 32, 2))
[2018-09-09 16:32:43.658] ATTACK: Bilary/(IckyOocky) has electrified [MiniSat Maintenance] (AI Chamber (150, 32, 2))
[2018-09-09 16:32:46.142] ATTACK: GreenTea98/(Helps-The-Station) has thrown Grodd XII's brain (Kitchen (152, 141, 2))
[2018-09-09 16:32:49.069] ATTACK: Bilary/(IckyOocky) has electrified [MiniSat Maintenance] (AI Chamber (150, 32, 2))
[2018-09-09 16:32:49.546] ATTACK: Bilary/(IckyOocky) has electrified [MiniSat Chamber Hallway] (AI Chamber (150, 32, 2))
[2018-09-09 16:32:49.963] ATTACK: Bilary/(IckyOocky) has electrified [MiniSat Maintenance] (AI Chamber (150, 32, 2))
[2018-09-09 16:32:50.376] ATTACK: Bilary/(IckyOocky) has electrified [MiniSat Service Bay] (AI Chamber (150, 32, 2))
[2018-09-09 16:32:50.720] ATTACK: Bilary/(IckyOocky) has electrified [MiniSat Atmospherics] (AI Chamber (150, 32, 2))
[2018-09-09 16:32:51.097] ATTACK: Bilary/(IckyOocky) has electrified [MiniSat Antechamber] (AI Chamber (150, 32, 2))
[2018-09-09 16:32:53.183] ATTACK: Bilary/(IckyOocky) has electrified [MiniSat Foyer] (AI Chamber (150, 32, 2))
[2018-09-09 16:32:53.644] ATTACK: TwoTar/(Deeja-Chee) has thrown the mechanical toolbox (Research and Development (186, 124, 2))
[2018-09-09 16:32:54.165] ATTACK: Bilary/(IckyOocky) has electrified [MiniSat Teleporter] (AI Chamber (150, 32, 2))
[2018-09-09 16:32:55.351] ATTACK: Bilary/(IckyOocky) has electrified [MiniSat External Access] (AI Chamber (150, 32, 2))
[2018-09-09 16:32:55.672] ATTACK: Bilary/(IckyOocky) has electrified [MiniSat External Access] (AI Chamber (150, 32, 2))
[2018-09-09 16:33:16.252] ATTACK: TwoTar/(Deeja-Chee) has thrown the rapid part exchange device (Xenobiology Lab (166, 101, 2))
[2018-09-09 16:33:17.058] ATTACK: TwoTar/(Deeja-Chee) has thrown the screwdriver (Xenobiology Lab (166, 101, 2))
[2018-09-09 16:33:23.395] ATTACK: TwoTar/(Deeja-Chee) has thrown the box of syringes (Xenobiology Lab (167, 103, 2))
[2018-09-09 16:33:27.880] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [beaker] with [syringe] which had blood (15u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:33:28.218] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [beaker] with [syringe] which had blood (10u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:33:28.615] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [beaker] with [syringe] which had blood (5u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:33:30.578] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [beaker] with [syringe] which had blood (15u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:33:31.077] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [beaker] with [syringe] which had blood (10u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:33:31.527] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [beaker] with [syringe] which had blood (5u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:33:33.585] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [beaker] with [syringe] which had blood (15u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:33:34.137] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [beaker] with [syringe] which had blood (10u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:33:34.707] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [beaker] with [syringe] which had blood (5u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:34:23.235] ATTACK: Pandolphina/(Hugo Dickinson) has thrown Andalusia (Bar (144, 138, 2))
[2018-09-09 16:34:24.200] ATTACK: GreenTea98/(Helps-The-Station) has thrown the faggot (Kitchen (152, 137, 2))
[2018-09-09 16:34:24.602] ATTACK: GreenTea98/(Helps-The-Station) has thrown the faggot (Kitchen (152, 137, 2))
[2018-09-09 16:34:26.143] ATTACK: GreenTea98/(Helps-The-Station) has thrown the faggot (Kitchen (152, 137, 2))
[2018-09-09 16:34:26.222] ATTACK: Wicker0/(Harlow Moriarty) has thrown the box of fountain pens (Cargo Office (89, 120, 2))
[2018-09-09 16:34:27.113] ATTACK: GreenTea98/(Helps-The-Station) has thrown the faggot (Kitchen (152, 137, 2))
[2018-09-09 16:34:35.087] ATTACK: Pandolphina/(Hugo Dickinson) has thrown Andalusia (Bar (144, 138, 2))
[2018-09-09 16:34:40.036] ATTACK: Pandolphina/(Hugo Dickinson) has thrown Andalusia (Bar (144, 138, 2))
[2018-09-09 16:34:43.383] ATTACK: Pandolphina/(Hugo Dickinson) has thrown Andalusia (Bar (144, 138, 2))
[2018-09-09 16:34:53.890] ATTACK: Pandolphina/(Hugo Dickinson) has thrown Andalusia (Bar (144, 138, 2))
[2018-09-09 16:35:07.008] ATTACK: GreenTea98/(Helps-The-Station) has thrown the faggot (Kitchen (152, 137, 2))
[2018-09-09 16:35:26.412] ATTACK: Wicker0/(Harlow Moriarty) has thrown the analyzer (Primary Tool Storage (75, 144, 2))
[2018-09-09 16:35:34.735] ATTACK: GreenTea98/(Helps-The-Station) has thrown the lightly-fried To Serve Man (Kitchen (151, 133, 2))
[2018-09-09 16:35:35.635] ATTACK: GreenTea98/(Helps-The-Station) has thrown the lightly-fried Chef Recipes (Kitchen (151, 133, 2))
[2018-09-09 16:35:36.741] ATTACK: GreenTea98/(Helps-The-Station) has thrown the pepper mill (Kitchen (151, 133, 2))
[2018-09-09 16:35:38.056] ATTACK: GreenTea98/(Helps-The-Station) has thrown the salt shaker (Kitchen (151, 133, 2))
[2018-09-09 16:35:50.760] ATTACK: GreenTea98/(Helps-The-Station) has used package wrapper on [mint] (Kitchen (153, 133, 2))
[2018-09-09 16:36:45.050] ATTACK: GreenTea98/(Helps-The-Station) has thrown the boiled spaghetti (Kitchen (152, 137, 2))
[2018-09-09 16:36:56.986] ATTACK: GreenTea98/(Helps-The-Station) has thrown the spaghetti and meatballs (Kitchen (151, 133, 2))
[2018-09-09 16:37:15.963] ATTACK: GreenTea98/(Helps-The-Station) has climbed onto [reinforced table] (Kitchen (155, 136, 2))
[2018-09-09 16:38:04.363] ATTACK: Bilary/(IckyOocky) has electrified [Virology Interior Airlock] (AI Chamber (150, 32, 2))
[2018-09-09 16:38:05.789] ATTACK: GreenTea98/(Helps-The-Station) has climbed onto [reinforced table] (Kitchen (155, 136, 2))
[2018-09-09 16:39:46.931] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(Poly) passive grab (NEWHP: 80)  (Chief Engineer's Office (116, 80, 2))
[2018-09-09 16:39:56.852] ATTACK: GreenTea98/(Helps-The-Station) has climbed onto [reinforced table] (Kitchen (155, 136, 2))
[2018-09-09 16:39:59.741] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(Poly) passive grab (NEWHP: 80)  (Engineering (122, 81, 2))
[2018-09-09 16:40:17.866] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(Poly) passive grab (NEWHP: 80)  (Engineering Foyer (121, 85, 2))
[2018-09-09 16:40:19.131] ATTACK: Wicker0/(Harlow Moriarty) has thrown the mint (Delivery Office (92, 123, 2))
[2018-09-09 16:40:22.394] ATTACK: GreenTea98/(Helps-The-Station) has climbed onto [reinforced table] (Kitchen (155, 136, 2))
[2018-09-09 16:40:42.625] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(Poly) passive grab (NEWHP: 80)  (Genetics Lab (157, 114, 2))
[2018-09-09 16:41:06.753] ATTACK: Wicker0/(Harlow Moriarty) has stung Catmanpop/(Sona Haku) with LSD sting[DC] (NEWHP: 100)  (Escape Shuttle Hallway (189, 136, 2))
[2018-09-09 16:43:19.419] ATTACK: Wicker0/(Harlow Moriarty) has grabbed Catmanpop/(Sona Haku) passive grab (NEWHP: 100)  (Central Primary Hallway (98, 141, 2))
[2018-09-09 16:43:59.177] ATTACK: Wicker0/(Harlow Moriarty) has thrown the cable coil (Art Supply Storage (80, 137, 2))
[2018-09-09 16:44:22.654] ATTACK: GreenTea98/(Helps-The-Station) has climbed onto [reinforced table] (Kitchen (155, 136, 2))
[2018-09-09 16:44:50.448] ATTACK: TwoTar/(Deeja-Chee) has thrown the strange plant (Starboard Primary Hallway (151, 130, 2))
[2018-09-09 16:45:20.957] ATTACK: Wicker0/(Harlow Moriarty) has climbed onto [reinforced table] (Kitchen (150, 132, 2))
[2018-09-09 16:45:39.030] ATTACK: Wicker0/(Harlow Moriarty) has climbed onto [reinforced table] (Kitchen (150, 132, 2))
[2018-09-09 16:45:41.857] ATTACK: GreenTea98/(Helps-The-Station) has thrown the watermelon (Kitchen (150, 134, 2))
[2018-09-09 16:45:44.498] ATTACK: GreenTea98/(Helps-The-Station) has thrown the cocoa pod (Kitchen (150, 133, 2))
[2018-09-09 16:45:45.523] ATTACK: GreenTea98/(Helps-The-Station) has thrown the watermelon (Kitchen (150, 133, 2))
[2018-09-09 16:45:48.353] ATTACK: Wicker0/(Harlow Moriarty) has climbed onto [reinforced table] (Kitchen (152, 132, 2))
[2018-09-09 16:46:49.722] ATTACK: GreenTea98/(Helps-The-Station) has thrown the cocoa pod (Kitchen (151, 137, 2))
[2018-09-09 16:47:20.593] ATTACK: TwoTar/(Deeja-Chee) has thrown the bear meat (Starboard Primary Hallway (150, 131, 2))
[2018-09-09 16:47:22.345] ATTACK: TwoTar/(Deeja-Chee) has thrown the lemon (Starboard Primary Hallway (150, 131, 2))
[2018-09-09 16:47:25.355] ATTACK: TwoTar/(Deeja-Chee) has thrown the dead mouse (Starboard Primary Hallway (150, 131, 2))
[2018-09-09 16:47:30.752] ATTACK: TwoTar/(Deeja-Chee) has thrown the birthday cake (Starboard Primary Hallway (151, 131, 2))
[2018-09-09 16:47:32.668] ATTACK: TwoTar/(Deeja-Chee) has thrown the icecream sandwich (Starboard Primary Hallway (151, 131, 2))
[2018-09-09 16:47:34.431] ATTACK: TwoTar/(Deeja-Chee) has thrown the chocolate bunny (Starboard Primary Hallway (151, 131, 2))
[2018-09-09 16:47:37.341] ATTACK: GreenTea98/(Helps-The-Station) has thrown the birthday cake (Kitchen (148, 135, 2))
[2018-09-09 16:47:40.191] ATTACK: Wicker0/(Harlow Moriarty) has thrown the fried strange plant (Starboard Primary Hallway (149, 131, 2))
[2018-09-09 16:47:43.742] ATTACK: TwoTar/(Deeja-Chee) has thrown the plant analyzer (Research Division (180, 115, 2))
[2018-09-09 16:48:05.682] ATTACK: Catmanpop/(Sona Haku) has touched Catmanpop/(Sona Haku) with a damp rag containing [DC] (NEWHP: 100)  (Starboard Quarter Maintenance (199, 101, 2))
[2018-09-09 16:48:08.140] ATTACK: GreenTea98/(Helps-The-Station) has thrown the lemon (Kitchen (150, 134, 2))
[2018-09-09 16:48:09.345] ATTACK: GreenTea98/(Helps-The-Station) has thrown the icecream sandwich (Kitchen (150, 134, 2))
[2018-09-09 16:49:39.176] ATTACK: Wicker0/(Harlow Moriarty) has thrown Space Cola (Port Primary Hallway (68, 141, 2))
[2018-09-09 16:49:39.227] ATTACK: Wicker0/(Harlow Moriarty) has splashed (thrown) Cola [floor] with in Port Primary Hallway (66, 141, 2)[DC] (Port Primary Hallway (68, 141, 2))
[2018-09-09 16:50:04.832] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [industrial grey extract] with [syringe] which had plasma (15u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:50:05.192] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [industrial grey extract] with [syringe] which had plasma (10u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:50:05.561] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [industrial grey extract] with [syringe] which had plasma (5u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:50:08.555] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [industrial grey extract] with [syringe] which had plasma (15u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:50:08.859] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [industrial grey extract] with [syringe] which had plasma (10u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:50:09.210] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [industrial grey extract] with [syringe] which had plasma (5u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:50:37.558] ATTACK: Wicker0/(Harlow Moriarty) has thrown the screwdriver (Primary Tool Storage (71, 147, 2))
[2018-09-09 16:51:01.586] ATTACK: Wicker0/(Harlow Moriarty) has thrown the improvised firebomb (Starboard Primary Hallway (159, 129, 2))
[2018-09-09 16:51:14.352] ATTACK: Wicker0/(Harlow Moriarty) has thrown the improvised firebomb (Starboard Primary Hallway (145, 128, 2))
[2018-09-09 16:52:11.034] ATTACK: Wicker0/(Harlow Moriarty) has thrown Space Cola (Central Primary Hallway (124, 141, 2))
[2018-09-09 16:52:11.037] ATTACK: Wicker0/(Harlow Moriarty) has splashed (thrown) Cola [wall] with in Dormitory Toilets (124, 143, 2)[DC] (Central Primary Hallway (124, 141, 2))
[2018-09-09 16:52:32.623] ATTACK: Wicker0/(Harlow Moriarty) has thrown the cable coil (Primary Tool Storage (71, 147, 2))
[2018-09-09 16:52:56.101] ATTACK: Wicker0/(Harlow Moriarty) has thrown Space Cola (Arrival Shuttle Hallway (59, 140, 2))
[2018-09-09 16:52:56.134] ATTACK: Wicker0/(Harlow Moriarty) has splashed (thrown) Cola [floor] with in Arrival Shuttle Hallway (60, 140, 2)[DC] (Arrival Shuttle Hallway (59, 140, 2))
[2018-09-09 16:53:38.866] ATTACK: GreenTea98/(Helps-The-Station) has thrown the cheese wedge (Kitchen (152, 137, 2))
[2018-09-09 16:53:39.904] ATTACK: GreenTea98/(Helps-The-Station) has thrown the cheese wedge (Kitchen (152, 137, 2))
[2018-09-09 16:53:41.502] ATTACK: GreenTea98/(Helps-The-Station) has thrown the cheese wedge (Kitchen (152, 137, 2))
[2018-09-09 16:53:43.923] ATTACK: GreenTea98/(Helps-The-Station) has thrown the watermelon (Kitchen (152, 137, 2))
[2018-09-09 16:53:44.360] ATTACK: GreenTea98/(Helps-The-Station) has thrown the watermelon (Kitchen (152, 137, 2))
[2018-09-09 16:53:45.925] ATTACK: GreenTea98/(Helps-The-Station) has thrown the watermelon (Kitchen (152, 137, 2))
[2018-09-09 16:54:05.470] ATTACK: Wicker0/(Harlow Moriarty) has thrown Space Cola (Primary Tool Storage (72, 146, 2))
[2018-09-09 16:54:05.497] ATTACK: Wicker0/(Harlow Moriarty) has splashed (thrown) Welding fuel [floor] with in Primary Tool Storage (72, 147, 2)[DC] (Primary Tool Storage (72, 146, 2))
[2018-09-09 16:54:07.039] ATTACK: GreenTea98/(Helps-The-Station) has thrown the cocoa pod (Kitchen (150, 137, 2))
[2018-09-09 16:54:21.130] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject [green slime extract] with [syringe] which had plasma (5u) (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:54:24.403] ATTACK: TwoTar/(Deeja-Chee) has attempted to inject TwoTar/(Deeja-Chee) with [syringe] which had slime_toxin (5u) (NEWHP: 100)  (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:54:24.403] ATTACK: TwoTar/(Deeja-Chee) injected themselves (slime_toxin (5u)) with syringe (Xenobiology Lab (168, 101, 2))
[2018-09-09 16:54:53.583] ATTACK: Wicker0/(Harlow Moriarty) has thrown the screwdriver (Cargo Bay (83, 124, 2))
[2018-09-09 16:56:07.229] ATTACK: DoopsBoops/(Spencer Catherina) has thrown the �T-ray scanner (Fore Maintenance (96, 146, 2))
[2018-09-09 16:56:07.298] ATTACK: DoopsBoops/(Spencer Catherina) has threw and hit Wicker0/(Harlow Moriarty) with [�T-ray scanner] (NEWHP: 100)  (Fore Maintenance (96, 146, 2))
[2018-09-09 16:56:31.329] ATTACK: Wicker0/(Harlow Moriarty) has thrown the floor tile (Central Primary Hallway (110, 142, 2))
[2018-09-09 16:56:37.657] ATTACK: GreenTea98/(Helps-The-Station) has thrown the cheese wedge (Kitchen (152, 137, 2))
[2018-09-09 16:56:38.691] ATTACK: GreenTea98/(Helps-The-Station) has thrown the cheese wedge (Kitchen (152, 137, 2))
[2018-09-09 16:56:40.110] ATTACK: GreenTea98/(Helps-The-Station) has thrown the cheese wedge (Kitchen (152, 137, 2))
[2018-09-09 16:56:41.046] ATTACK: GreenTea98/(Helps-The-Station) has thrown the vanilla cake (Kitchen (152, 137, 2))
[2018-09-09 16:56:58.602] ATTACK: Wicker0/(Harlow Moriarty) has attacked [�Central Primary Hallway air scrubber #2] with [pocket crowbar] (Central Primary Hallway (99, 141, 2))
[2018-09-09 16:57:11.687] ATTACK: TwoTar/(Deeja-Chee) has thrown the cable coil (Robotics Lab (176, 119, 2))
[2018-09-09 16:57:23.685] ATTACK: *no key*/(monkey (227)) Spawned via the monkey cube at Kitchen (0, 0, 0), Last attached mob: GreenTea98/(Helps-The-Station). (Kitchen (149, 138, 2))
[2018-09-09 16:57:36.142] ATTACK: GreenTea98/(Helps-The-Station) has grabbed *no key*/(monkey (227)) passive grab (NEWHP: 100)  (Kitchen (149, 137, 2))
[2018-09-09 16:58:18.457] ATTACK: *no key*/(Pete) has attacked *no key*/(monkey (227)) (NEWHP: 100)  (Kitchen (151, 141, 2))
[2018-09-09 16:58:20.658] ATTACK: *no key*/(Pete) has attacked *no key*/(monkey (227)) (NEWHP: 99.2)  (Kitchen (151, 141, 2))
[2018-09-09 16:58:22.732] ATTACK: *no key*/(Pete) has attacked *no key*/(monkey (227)) (NEWHP: 97.7)  (Kitchen (151, 141, 2))
[2018-09-09 16:58:24.808] ATTACK: *no key*/(Pete) has attacked *no key*/(monkey (227)) (NEWHP: 96.2)  (Kitchen (151, 141, 2))
[2018-09-09 16:58:26.821] ATTACK: *no key*/(Pete) has attacked *no key*/(monkey (227)) (NEWHP: 94.7)  (Kitchen (151, 141, 2))
[2018-09-09 16:58:28.839] ATTACK: *no key*/(Pete) has attacked *no key*/(monkey (227)) (NEWHP: 94)  (Kitchen (151, 141, 2))
[2018-09-09 16:59:10.693] ATTACK: DoopsBoops/(Spencer Catherina) has attacked [firelock frame] with [wrench] (Auxiliary Base Construction (45, 159, 2))
[2018-09-09 16:59:13.142] ATTACK: DoopsBoops/(Spencer Catherina) has attacked [firelock frame] with [wrench] (Auxiliary Base Construction (45, 159, 2))
[2018-09-09 16:59:26.583] ATTACK: Wicker0/(Harlow Moriarty) has attacked [light fixture] with [floor tile] (Central Primary Hallway (98, 142, 2))
[2018-09-09 16:59:48.968] ATTACK: Wicker0/(Harlow Moriarty) has thrown the floor tile (Central Primary Hallway (100, 140, 2))
[2018-09-09 16:59:51.489] ATTACK: Wicker0/(Harlow Moriarty) has hit [grille] (Central Primary Hallway (104, 140, 2))
[2018-09-09 17:00:15.420] ATTACK: GreenTea98/(Helps-The-Station) has climbed onto [reinforced table] (Kitchen (155, 136, 2))
